timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662384434126,6,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,6,0,1
1662384434972,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384434974,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384434976,5,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,5,0,0
1662384434982,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384434983,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384434985,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384434987,3,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,0
1662384434990,3,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,1
1662384434993,11,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,11,0,1
1662384435005,5,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,5,0,1
1662384435011,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384435013,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384435014,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384435016,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384435018,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384435019,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384435021,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384435022,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384435024,1,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384435025,2,homepage,200,OK,10.128.2.129-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,2,0,0
